date,time,open,high,low,close,volume
09/04/2013,14:24:28.611,1640.25,1651.0,1651.0,1651.0,52.0
09/04/2013,14:24:28.616,1640.25,1651.0,1651.0,1651.0,58.0
09/04/2013,14:24:28.851,1640.25,1651.25,1651.0,1651.0,50.0
09/04/2013,14:24:29.557,1640.25,1651.25,1651.0,1651.0,54.0
09/04/2013,14:24:29.631,1640.25,1651.25,1651.0,1651.25,70.0
09/04/2013,14:24:29.631,1640.25,1651.25,1651.25,1651.25,85.0
09/04/2013,14:24:29.631,1640.25,1651.25,1651.25,1651.25,50.0
09/04/2013,14:24:29.631,1640.25,1651.25,1651.25,1651.25,57.0
09/04/2013,14:24:29.631,1640.25,1651.25,1651.25,1651.25,65.0
09/04/2013,14:24:29.631,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:29.973,1640.25,1651.25,1651.0,1651.25,55.0
09/04/2013,14:24:29.973,1640.25,1651.25,1651.25,1651.25,68.0
09/04/2013,14:24:29.973,1640.25,1651.25,1651.25,1651.25,66.0
09/04/2013,14:24:29.973,1640.25,1651.25,1651.25,1651.25,50.0
09/04/2013,14:24:30.331,1640.25,1651.5,1651.25,1651.5,54.0
09/04/2013,14:24:30.331,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:30.370,1640.25,1651.5,1651.25,1651.5,50.0
09/04/2013,14:24:30.370,1640.25,1651.5,1651.5,1651.5,51.0
09/04/2013,14:24:30.696,1640.25,1651.5,1651.5,1651.5,139.0
09/04/2013,14:24:30.696,1640.25,1651.5,1651.5,1651.5,75.0
09/04/2013,14:24:30.696,1640.25,1651.5,1651.5,1651.5,66.0
09/04/2013,14:24:30.696,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:30.771,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:30.816,1640.25,1651.5,1651.5,1651.5,65.0
09/04/2013,14:24:30.816,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:30.816,1640.25,1651.5,1651.5,1651.5,56.0
09/04/2013,14:24:30.816,1640.25,1651.5,1651.5,1651.5,55.0
09/04/2013,14:24:30.816,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:30.816,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:30.816,1640.25,1651.5,1651.25,1651.25,86.0
09/04/2013,14:24:30.816,1640.25,1651.5,1651.25,1651.25,52.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,59.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,56.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,104.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,55.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,59.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,85.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,58.0
09/04/2013,14:24:30.816,1640.25,1651.25,1651.25,1651.25,60.0
09/04/2013,14:24:30.827,1640.25,1651.5,1651.25,1651.25,67.0
09/04/2013,14:24:30.827,1640.25,1651.25,1651.25,1651.25,66.0
09/04/2013,14:24:30.827,1640.25,1651.25,1651.25,1651.25,64.0
09/04/2013,14:24:30.827,1640.25,1651.25,1651.25,1651.25,50.0
09/04/2013,14:24:30.827,1640.25,1651.25,1651.25,1651.25,60.0
09/04/2013,14:24:30.838,1640.25,1651.25,1651.25,1651.25,54.0
09/04/2013,14:24:30.916,1640.25,1651.25,1651.25,1651.25,52.0
09/04/2013,14:24:31.059,1640.25,1651.25,1651.25,1651.25,54.0
09/04/2013,14:24:31.065,1640.25,1651.5,1651.25,1651.5,50.0
09/04/2013,14:24:31.065,1640.25,1651.5,1651.5,1651.5,56.0
09/04/2013,14:24:32.115,1640.25,1651.5,1651.25,1651.5,78.0
09/04/2013,14:24:32.283,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:32.446,1640.25,1651.5,1651.25,1651.5,55.0
09/04/2013,14:24:33.035,1640.25,1651.5,1651.25,1651.25,50.0
09/04/2013,14:24:33.856,1640.25,1651.5,1651.25,1651.5,51.0
09/04/2013,14:24:33.856,1640.25,1651.5,1651.5,1651.5,54.0
09/04/2013,14:24:33.856,1640.25,1651.5,1651.5,1651.5,57.0
09/04/2013,14:24:33.856,1640.25,1651.5,1651.5,1651.5,52.0
09/04/2013,14:24:33.856,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:33.856,1640.25,1651.5,1651.5,1651.5,64.0
09/04/2013,14:24:34.811,1640.25,1651.5,1651.25,1651.25,51.0
09/04/2013,14:24:34.850,1640.25,1651.25,1651.25,1651.25,95.0
09/04/2013,14:24:34.850,1640.25,1651.25,1651.25,1651.25,89.0
09/04/2013,14:24:34.850,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:34.855,1640.25,1651.25,1651.25,1651.25,50.0
09/04/2013,14:24:34.860,1640.25,1651.25,1651.25,1651.25,67.0
09/04/2013,14:24:34.860,1640.25,1651.25,1651.25,1651.25,59.0
09/04/2013,14:24:35.022,1640.25,1651.5,1651.25,1651.25,50.0
09/04/2013,14:24:35.022,1640.25,1651.25,1651.25,1651.25,50.0
09/04/2013,14:24:35.022,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:35.356,1640.25,1651.25,1651.0,1651.25,50.0
09/04/2013,14:24:35.356,1640.25,1651.25,1651.25,1651.25,56.0
09/04/2013,14:24:35.356,1640.25,1651.25,1651.25,1651.25,59.0
09/04/2013,14:24:35.424,1640.25,1651.25,1651.25,1651.25,58.0
09/04/2013,14:24:35.634,1640.25,1651.25,1651.25,1651.25,50.0
09/04/2013,14:24:35.923,1640.25,1651.25,1651.25,1651.25,55.0
09/04/2013,14:24:36.081,1640.25,1651.25,1651.0,1651.0,76.0
09/04/2013,14:24:36.081,1640.25,1651.0,1651.0,1651.0,50.0
09/04/2013,14:24:36.963,1640.25,1651.0,1651.0,1651.0,68.0
09/04/2013,14:24:36.963,1640.25,1651.0,1651.0,1651.0,50.0
09/04/2013,14:24:36.963,1640.25,1651.0,1651.0,1651.0,63.0
09/04/2013,14:24:36.963,1640.25,1651.0,1651.0,1651.0,77.0
09/04/2013,14:24:36.980,1640.25,1651.0,1650.75,1650.75,54.0
09/04/2013,14:24:36.980,1640.25,1650.75,1650.75,1650.75,51.0
09/04/2013,14:24:36.980,1640.25,1650.75,1650.75,1650.75,53.0
09/04/2013,14:24:37.056,1640.25,1650.75,1650.75,1650.75,50.0
09/04/2013,14:24:37.389,1640.25,1650.75,1650.75,1650.75,50.0
09/04/2013,14:24:37.787,1640.25,1651.0,1650.75,1650.75,69.0
09/04/2013,14:24:37.787,1640.25,1650.75,1650.75,1650.75,51.0
09/04/2013,14:24:37.792,1640.25,1650.75,1650.75,1650.75,50.0
09/04/2013,14:24:37.798,1640.25,1650.75,1650.75,1650.75,66.0
09/04/2013,14:24:37.804,1640.25,1650.75,1650.75,1650.75,60.0
09/04/2013,14:24:37.815,1640.25,1650.75,1650.5,1650.5,53.0
09/04/2013,14:24:37.815,1640.25,1650.5,1650.5,1650.5,99.0
09/04/2013,14:24:37.815,1640.25,1650.5,1650.5,1650.5,52.0
09/04/2013,14:24:37.876,1640.25,1650.5,1650.5,1650.5,59.0
